Back to Contents,Data 1: Export Volumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourcekey,N9130US2,N9132US2,N9132CN2,N9132MX2,N9133US2,NGM_EPG0_EVT_NUS-Z00_MMCF,NGM_EPG0_EVE_NUS-Z00_MMCF,NGM_EPG0_EVE_NUS-NAC_MMCF,NGM_EPG0_EVE_NUS-NAT_MMCF,NGM_EPG0_EVE_NUS-NBF_MMCF,NGM_EPG0_EVE_NUS-NBG_MMCF,NGM_EPG0_EVE_NUS-NBB_MMCF,NGM_EPG0_EVE_NUS-NBE_MMCF,NGM_EPG0_EVE_NUS-NBR_MMCF,NGM_EPG0_EVE_NUS-NCI_MMCF,NGM_EPG0_EVE_NUS-NCH_MMCF,NGM_EPG0_EVE_NUS-NCO_MMCF,NGM_EPG0_EVE_NUS-NHR_MMCF,NGM_EPG0_EVE_NUS-NDR_MMCF,NGM_EPG0_EVE_NUS-NEG_MMCF,NGM_EPG0_EVE_NUS-NFI_MMCF,NGM_EPG0_EVE_NUS-NFR_MMCF,NGM_EPG0_EVE_NUS-NGM_MMCF,NGM_EPG0_EVE_NUS-NGR_MMCF,NGM_EPG0_EVE_NUS-NHA_MMCF,NGM_EPG0_EVE_NUS-NIN_MMCF,NGM_EPG0_EVE_NUS-NID_MMCF,NGM_EPG0_EVE_NUS-NIS_MMCF,NGM_EPG0_EVE_NUS-NIT_MMCF,NGM_EPG0_EVE_NUS-NJM_MMCF,NGM_EPG0_EVE_NUS-NJA_MMCF,NGM_EPG0_EVE_NUS-NJO_MMCF,NGM_EPG0_EVE_NUS-NKU_MMCF,NGM_EPG0_EVE_NUS-NLH_MMCF,NGM_EPG0_EVE_NUS-NMY_MMCF,NGM_EPG0_EVE_NUS-NM6_MMCF,NGM_EPG0_EVE_NUS-NMX_MMCF,NGM_EPG0_EVE_NUS-NNL_MMCF,NGM_EPG0_EVE_NUS-NNU_MMCF,NGM_EPG0_EVE_NUS-NPK_MMCF,NGM_EPG0_EVE_NUS-NPM_MMCF,NGM_EPG0_EVE_NUS-NPL_MMCF,NGM_EPG0_EVE_NUS-NPO_MMCF,NGM_EPG0_EVE_NUS-NRS_MMCF,NGM_EPG0_EVE_NUS-NSN_MMCF,NGM_EPG0_EVE_NUS-NKS_MMCF,NGM_EPG0_EVE_NUS-NSP_MMCF,NGM_EPG0_EVE_NUS-NTW_MMCF,NGM_EPG0_EVE_NUS-NTH_MMCF,NGM_EPG0_EVE_NUS-NTU_MMCF,NGM_EPG0_EVE_NUS-NTC_MMCF,NGM_EPG0_EVE_NUS-NUK_MMCF,NGM_EPG0_ETR_NUS-Z00_MMCF,NGM_EPG0_ETR_NUS-NCA_MMCF,NGM_EPG0_ETR_NUS-NMX_MMCF,NGM_EPG0_ERE_NUS-Z00_MMCF,NGM_EPG0_ERE_NUS-NAT_MMCF,NGM_EPG0_ERE_NUS-NBR_MMCF,NGM_EPG0_ERE_NUS-NCI_MMCF,NGM_EPG0_ERE_NUS-NCH_MMCF,NGM_EPG0_ERE_NUS-NEG_MMCF,NGM_EPG0_ERE_NUS-NIN_MMCF,NGM_EPG0_ERE_NUS-NJA_MMCF,NGM_EPG0_ERE_NUS-NMX_MMCF,NGM_EPG0_ERE_NUS-NPO_MMCF,NGM_EPG0_ERE_NUS-NKS_MMCF,NGM_EPG0_ERE_NUS-NSP_MMCF,NGM_EPG0_ERE_NUS-NTU_MMCF,NGM_EPG0_ERE_NUS-NUK_MMCF,NGM_EPG0_ENC_NUS-Z00_MMCF,NGM_EPG0_ENC_NUS-NCA_MMCF
Date,U.S. Natural Gas Exports (MMcf),U.S. Natural Gas Pipeline Exports (MMcf),U.S. Natural Gas Pipeline Exports to Canada (MMcf),U.S. Natural Gas Pipeline Exports to Mexico (MMcf),Liquefied U.S. Natural Gas Exports (MMcf),Liquefied U.S. Natural Gas Exports by Vessel and Truck (MMcf),Liquefied U.S. Natural Gas Exports by Vessel (MMcf),U.S. Liquefied Natural Gas Exports by Vessel to Antigua and Barbuda (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Argentina  (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Bahamas (Million Cubic Feet),U.S. Liquefied Natural Gas Exports by Vessel to Bangladesh (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Barbados (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Belgium (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Brazil  (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Chile (Million Cubic Feet),U.S. Liquefied Natural Gas Exports by Vessel to China (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Colombia  (Million Cubic Feet),U.S. Liquefied Natural Gas Exports by Vessel to Croatia (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Dominican Republic (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessels to Egypt (Million Cubic Feet),U.S. Liquefied Natural Gas Exports by Vessel to Finland (Million Cubic Feet),U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),U.S. Liquefied Natural Gas Exports by Vessel to Germany (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessels to Greece (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Haiti  (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to India (Million Cubic Feet),U.S. Liquefied Natural Gas Exports by Vessel to Indonesia (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Israel (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Italy (MMcf),Liquefied U.S. Natural Gas Exports by Vessel to Jamaica (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Japan (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Jordan (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Kuwait (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Lithuania (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Malaysia (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Malta (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Mexico (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Netherlands (Million Cubic Feet),U.S. Liquefied Natural Gas Exports by Vessel to Nicaragua (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Pakistan (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Panama (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Poland (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Portugal (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Russia (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessels to Singapore (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessels to South Korea (Million Cubic Feet),U.S. Liquefied Natural Gas Exports by Vessel to Spain (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Taiwan (Million Cubic Feet),U.S. Liquefied Natural Gas Exports by Vessel to Thailand (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Turkiye (MMcf),Liquefied U.S. Natural Gas Exports by Vessel to United Arab Emirates (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to United Kingdom (MMcf),Liquefied U.S. Natural Gas Exports by Truck (MMcf),Liquefied U.S. Natural Gas Exports by Truck to Canada (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Truck to Mexico (Million Cubic Feet),Liquefied U.S. Natural Gas Re-Exports (MMcf),Liquefied U.S. Natural Gas Re-Exports to Argentina (Million Cubic Feet),Liquefied U.S. Natural Gas Re-Exports to Brazil (Million Cubic Feet),Liquefied U.S. Natural Gas Re-Exports to Chile (Million Cubic Feet),U.S. Liquefied Natural Gas Re-Exports to China (Million Cubic Feet),Liquefied U.S. Natural Gas Re-Exports to Egypt (Million Cubic Feet),Liquefied U.S. Natural Gas Re-Exports to India (Million Cubic Feet),Liquefied U.S. Natural Gas Re-Exports to Japan (Million Cubic Feet),Liquefied U.S. Natural Gas Re-Exports to Mexico (Million Cubic Feet),Liquefied U.S. Natural Gas Re-Exports to Portugal (Million Cubic Feet),Liquefied U.S. Natural Gas Re-Exports to South Korea (Million Cubic Feet), U.S. Liquefied Natural Gas Re-Exports to Spain (Million Cubic Feet),Liquefied U.S. Natural Gas Re-Exports to Turkiye (Million Cubic Feet),Liquefied U.S. Natural Gas Re-Exports to United Kingdom (Million Cubic Feet),Compressed U.S. Natural Gas Exports (Million Cubic Feet),U.S. Compressed Natural Gas Exports to Canada (Million Cubic Feet)
1973-01-15,5808,0,60,1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-02-15,6079,0,384,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-03-15,4021,0,1167,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-04-15,8017,0,931,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-05-15,8741,0,1670,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-06-15,4131,0,1598,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-07-15,5744,0,1758,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-08-15,8726,0,1829,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-09-15,6403,0,1022,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
