COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,2020,57291.0
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,2021,55420.0
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,4Q2022,14005.0
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,DEC2021,4436.0
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,DEC2022,4556.0
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,YTD2021,55420.0
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,YTD2022,58284.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,2020,153014.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,2021,156154.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,4Q2022,41361.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,DEC2021,13225.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,DEC2022,13831.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,YTD2021,156154.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,YTD2022,162973.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,2020,6711.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,2021,6069.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,4Q2022,481.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,DEC2021,473.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,DEC2022,105.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,YTD2021,6069.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,YTD2022,2892.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,2020,102434.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,2021,106803.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,4Q2022,27777.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,DEC2021,9262.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,DEC2022,9380.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,YTD2021,106803.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,YTD2022,107521.0
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,2020,8823.864
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,2021,9343.52
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,4Q2022,2326.732
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,DEC2021,1169.719
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,DEC2022,965.238
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,YTD2021,9343.52
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,YTD2022,8149.663
AUSTRIA,BALANCE,NATGASCM,INDPROD,2020,786.796
AUSTRIA,BALANCE,NATGASCM,INDPROD,2021,708.413
AUSTRIA,BALANCE,NATGASCM,INDPROD,4Q2022,142.756
AUSTRIA,BALANCE,NATGASCM,INDPROD,DEC2021,66.408
AUSTRIA,BALANCE,NATGASCM,INDPROD,DEC2022,46.074
AUSTRIA,BALANCE,NATGASCM,INDPROD,YTD2021,708.413
AUSTRIA,BALANCE,NATGASCM,INDPROD,YTD2022,646.239
AUSTRIA,BALANCE,NATGASCM,STCHANAT,2020,-1586.326
