COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,2020,34187.21
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,2021,35197.951
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,4Q2022,9710.663
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,DEC2021,2949.905
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,DEC2022,3300.548
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,YTD2021,35197.951
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,YTD2022,36650.107
OECDTOT,BALANCE,CRNGFEED,CSNATTER,2020,318969.231
OECDTOT,BALANCE,CRNGFEED,CSNATTER,2021,292130.492
OECDTOT,BALANCE,CRNGFEED,CSNATTER,1Q2022,288947.671
OECDTOT,BALANCE,CRNGFEED,CSNATTER,2Q2022,285108.933
OECDTOT,BALANCE,CRNGFEED,CSNATTER,3Q2022,275098.697
OECDTOT,BALANCE,CRNGFEED,CSNATTER,4Q2022,269364.043
OECDTOT,BALANCE,CRNGFEED,CSNATTER,DEC2021,292459.701
OECDTOT,BALANCE,CRNGFEED,CSNATTER,DEC2022,268836.215
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,2020,253480.604
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,2021,259185.77
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,4Q2022,68708.742
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,DEC2021,21736.969
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,DEC2022,22314.912
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,YTD2021,259185.77
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,YTD2022,272529.996
OECDTOT,BALANCE,CRNGFEED,INDPROD,2020,1234005.868
OECDTOT,BALANCE,CRNGFEED,INDPROD,2021,1271122.922
OECDTOT,BALANCE,CRNGFEED,INDPROD,4Q2022,332401.03
OECDTOT,BALANCE,CRNGFEED,INDPROD,DEC2021,109151.982
OECDTOT,BALANCE,CRNGFEED,INDPROD,DEC2022,111008.192
OECDTOT,BALANCE,CRNGFEED,INDPROD,YTD2021,1271122.922
OECDTOT,BALANCE,CRNGFEED,INDPROD,YTD2022,1286803.002
OECDTOT,BALANCE,CRNGFEED,OSNATTER,2020,311356.19
OECDTOT,BALANCE,CRNGFEED,OSNATTER,2021,320786.507
